epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,183.998,0.98611,1.04118,0.00826,0.5076,0.54958,0.49438,0.23409,0.66694,0.79689,0.00523,0.000665755,0.000665755,0.000665755
2,358.345,1.01745,1.12958,0.00873,0.5416,0.48079,0.49902,0.2325,0.6758,0.94037,0.00505,0.00132363,0.00132363,0.00132363
3,532.68,1.0209,1.14899,0.00804,0.56238,0.42271,0.45302,0.19427,0.68141,0.92598,0.00513,0.0019727,0.0019727,0.0019727
4,706.954,1.0888,1.15591,0.00828,0.55941,0.5,0.50988,0.24241,0.69847,0.90219,0.00509,0.0019604,0.0019604,0.0019604
5,881.49,1.12915,1.18541,0.00906,0.59756,0.46057,0.51689,0.25328,0.6791,0.9075,0.0052,0.0019472,0.0019472,0.0019472
6,1055.9,1.1005,1.18675,0.00934,0.59848,0.42587,0.47368,0.21319,0.69436,0.91876,0.0053,0.001934,0.001934,0.001934
7,1231.06,1.09804,1.11965,0.0084,0.53631,0.43783,0.4768,0.22247,0.68263,0.92362,0.00489,0.0019208,0.0019208,0.0019208
8,1405.92,1.05799,1.07674,0.00843,0.55239,0.45741,0.47783,0.21964,0.68256,1.18695,0.00508,0.0019076,0.0019076,0.0019076
9,1580.44,1.09184,1.10186,0.00873,0.47141,0.47792,0.4606,0.20483,0.69409,0.76875,0.005,0.0018944,0.0018944,0.0018944
10,1754.72,0.97113,1.01761,0.0076,0.48208,0.41841,0.42049,0.17883,0.70153,0.85932,0.00524,0.0018812,0.0018812,0.0018812
11,1929.14,1.10141,1.13014,0.00825,0.49791,0.51305,0.51832,0.23265,0.69802,0.92123,0.00507,0.001868,0.001868,0.001868
12,2103.01,1.05844,1.07593,0.0083,0.51476,0.47319,0.47361,0.21823,0.69549,1.15493,0.00507,0.0018548,0.0018548,0.0018548
13,2276.97,1.04014,1.05026,0.0079,0.52595,0.46688,0.46236,0.21731,0.67563,1.34379,0.00496,0.0018416,0.0018416,0.0018416
14,2450.97,1.10456,1.11086,0.00858,0.52906,0.47133,0.48909,0.22542,0.71084,0.88709,0.00526,0.0018284,0.0018284,0.0018284
15,2625.08,1.03574,1.03462,0.00805,0.51495,0.40063,0.4531,0.20282,0.69013,0.85159,0.00506,0.0018152,0.0018152,0.0018152
16,2799.13,1.02134,1.04272,0.00835,0.51103,0.42271,0.45808,0.19817,0.69637,0.77816,0.00502,0.001802,0.001802,0.001802
17,2973.59,1.05467,1.07279,0.00829,0.56428,0.4858,0.53275,0.24486,0.68378,0.83241,0.00503,0.0017888,0.0017888,0.0017888
18,3147.5,1.01287,1.08836,0.00892,0.47128,0.3959,0.38478,0.17456,0.65861,0.97078,0.00451,0.0017756,0.0017756,0.0017756
19,3321.09,0.98667,0.99566,0.00776,0.43671,0.55205,0.46398,0.21489,0.66779,0.83432,0.00484,0.0017624,0.0017624,0.0017624
20,3495.07,1.03005,0.95973,0.00779,0.46088,0.4653,0.46533,0.22021,0.65738,0.76699,0.00479,0.0017492,0.0017492,0.0017492
21,3668.41,1.07871,1.06781,0.00842,0.4845,0.47586,0.47505,0.2226,0.70827,0.79853,0.00513,0.001736,0.001736,0.001736
22,3842.54,1.01493,1.04117,0.00782,0.51581,0.46372,0.48331,0.22137,0.70144,0.82983,0.00504,0.0017228,0.0017228,0.0017228
23,4016.21,0.9803,0.96883,0.00711,0.46345,0.45741,0.43637,0.21275,0.65457,0.84001,0.00465,0.0017096,0.0017096,0.0017096
24,4191.05,0.99502,0.99358,0.00738,0.51395,0.47866,0.49639,0.23285,0.69878,0.8666,0.00503,0.0016964,0.0016964,0.0016964
25,4366.24,1.03242,1.01369,0.00789,0.5957,0.46688,0.5226,0.24704,0.64312,0.81715,0.0046,0.0016832,0.0016832,0.0016832
26,4541.24,1.00552,0.96559,0.00747,0.41369,0.50473,0.38919,0.18543,0.6415,0.77155,0.00481,0.00167,0.00167,0.00167
27,4715.82,0.97409,0.96593,0.00784,0.53602,0.50789,0.51184,0.24635,0.66328,0.83781,0.00491,0.0016568,0.0016568,0.0016568
28,4890.55,1.04165,1.01611,0.0083,0.53695,0.55784,0.55398,0.27418,0.64571,0.76791,0.00461,0.0016436,0.0016436,0.0016436
29,5065.62,1.00919,0.93473,0.0077,0.47432,0.5489,0.5043,0.25257,0.66559,0.75055,0.00478,0.0016304,0.0016304,0.0016304
30,5240.61,0.96807,0.97927,0.00776,0.51622,0.49842,0.48214,0.23908,0.66384,0.85179,0.00494,0.0016172,0.0016172,0.0016172
31,5415.34,1.004,0.95854,0.00792,0.49771,0.51262,0.49772,0.24529,0.65745,0.72293,0.00477,0.001604,0.001604,0.001604
32,5592.11,0.9832,0.92759,0.00745,0.52418,0.53785,0.51379,0.25605,0.62284,0.68683,0.00454,0.0015908,0.0015908,0.0015908
33,5768.12,1.01331,0.93301,0.00762,0.45505,0.50631,0.40347,0.19081,0.64831,0.75759,0.00488,0.0015776,0.0015776,0.0015776
34,5943.96,0.95927,0.95588,0.00772,0.59448,0.5142,0.55419,0.2684,0.66576,0.6995,0.005,0.0015644,0.0015644,0.0015644
35,6119.82,1.03785,0.97848,0.0084,0.53455,0.52524,0.49919,0.23765,0.67324,0.72734,0.00497,0.0015512,0.0015512,0.0015512
36,6294.32,0.98333,0.94154,0.00775,0.57036,0.48787,0.52834,0.26719,0.64256,0.76312,0.00484,0.001538,0.001538,0.001538
37,6469.45,0.94661,0.95344,0.00719,0.58296,0.50158,0.55261,0.27725,0.63624,0.84929,0.00451,0.0015248,0.0015248,0.0015248
38,6645.18,0.97527,0.90956,0.00706,0.57516,0.51262,0.53908,0.26753,0.62984,0.69406,0.0045,0.0015116,0.0015116,0.0015116
39,6819.97,0.98206,0.95127,0.0079,0.53194,0.54674,0.51608,0.25291,0.63536,0.74121,0.00466,0.0014984,0.0014984,0.0014984
40,6995.12,0.97331,0.95431,0.00784,0.52182,0.5353,0.52219,0.26059,0.63942,0.74052,0.00442,0.0014852,0.0014852,0.0014852
41,7170.88,0.96104,0.91381,0.00777,0.59892,0.50158,0.53193,0.26284,0.64107,0.72191,0.00434,0.001472,0.001472,0.001472
42,7346.84,0.99032,0.88265,0.0075,0.55051,0.51191,0.52827,0.25814,0.65917,0.72846,0.00467,0.0014588,0.0014588,0.0014588
43,7522.63,0.96938,0.87808,0.00724,0.49027,0.49369,0.49768,0.23973,0.66174,0.71404,0.00457,0.0014456,0.0014456,0.0014456
44,7698.65,1.00775,0.9324,0.00785,0.49951,0.53155,0.47859,0.23484,0.63503,0.75114,0.00459,0.0014324,0.0014324,0.0014324
45,7874.26,1.0044,0.92358,0.00798,0.54335,0.52524,0.5398,0.26308,0.63432,0.67704,0.00446,0.0014192,0.0014192,0.0014192
46,8049.5,0.98095,0.84106,0.00762,0.5397,0.54416,0.5419,0.28036,0.64262,0.70333,0.00465,0.001406,0.001406,0.001406
47,8225.08,0.9609,0.85655,0.00725,0.55174,0.56302,0.54679,0.26546,0.63174,0.85967,0.0046,0.0013928,0.0013928,0.0013928
48,8400.9,0.98597,0.90798,0.00769,0.48836,0.51577,0.46303,0.22358,0.65125,0.80722,0.00467,0.0013796,0.0013796,0.0013796
49,8577.17,0.97468,0.89144,0.0068,0.59846,0.53785,0.54934,0.27245,0.64773,0.7797,0.00461,0.0013664,0.0013664,0.0013664
50,8752.7,0.98644,0.90918,0.00745,0.58558,0.50592,0.54785,0.27541,0.64049,0.70004,0.00449,0.0013532,0.0013532,0.0013532
51,8928.62,0.91004,0.80136,0.00692,0.542,0.56151,0.55136,0.26985,0.67237,0.73941,0.00492,0.00134,0.00134,0.00134
52,9104.52,0.98382,0.8922,0.00729,0.53242,0.55678,0.54761,0.27736,0.63835,0.65025,0.00459,0.0013268,0.0013268,0.0013268
53,9279.94,0.92207,0.84423,0.00677,0.5713,0.54732,0.55783,0.27528,0.65582,0.72362,0.00471,0.0013136,0.0013136,0.0013136
54,9455.73,1.00566,0.85579,0.00856,0.55197,0.52839,0.53629,0.2644,0.6501,0.65895,0.00477,0.0013004,0.0013004,0.0013004
55,9631.12,0.99823,0.88199,0.00758,0.56022,0.57866,0.57291,0.29454,0.62281,0.66183,0.00451,0.0012872,0.0012872,0.0012872
56,9806.39,0.92513,0.81138,0.00713,0.52049,0.55984,0.50308,0.25463,0.63761,0.66374,0.00462,0.001274,0.001274,0.001274
57,9981.99,0.93937,0.85896,0.00715,0.54154,0.55205,0.54766,0.27102,0.63663,0.71824,0.00456,0.0012608,0.0012608,0.0012608
58,10157,0.91583,0.79942,0.0072,0.56899,0.55047,0.56845,0.29073,0.64111,0.62425,0.00484,0.0012476,0.0012476,0.0012476
59,10331.8,0.96153,0.7902,0.00728,0.54726,0.57729,0.54795,0.27074,0.64363,0.64913,0.00456,0.0012344,0.0012344,0.0012344
60,10506.9,0.90893,0.82219,0.00661,0.58008,0.56467,0.57964,0.2825,0.65622,0.65202,0.00475,0.0012212,0.0012212,0.0012212
61,10682.3,0.95936,0.82697,0.00735,0.60619,0.54574,0.58822,0.29542,0.6358,0.63552,0.0047,0.001208,0.001208,0.001208
62,10857.8,0.90652,0.79949,0.00741,0.61666,0.56467,0.57086,0.28676,0.64056,0.68171,0.00479,0.0011948,0.0011948,0.0011948
63,11033.7,0.94744,0.82723,0.00736,0.58883,0.58675,0.58848,0.30704,0.61196,0.68414,0.00439,0.0011816,0.0011816,0.0011816
64,11209.8,0.92985,0.76483,0.00679,0.62508,0.54574,0.57011,0.29252,0.60819,0.6693,0.00421,0.0011684,0.0011684,0.0011684
65,11385.5,0.94964,0.78927,0.00672,0.5743,0.5347,0.55624,0.28538,0.64871,0.65913,0.00459,0.0011552,0.0011552,0.0011552
66,11560.8,0.90917,0.80073,0.00663,0.55412,0.59306,0.54539,0.26768,0.64039,0.65278,0.00462,0.001142,0.001142,0.001142
67,11736.4,0.90462,0.78596,0.00728,0.60467,0.53557,0.56736,0.29746,0.62108,0.66685,0.00447,0.0011288,0.0011288,0.0011288
68,11911.1,0.95698,0.81389,0.0074,0.54232,0.57191,0.56345,0.29048,0.61711,0.66544,0.00443,0.0011156,0.0011156,0.0011156
69,12086.5,0.89013,0.78,0.00636,0.55167,0.55836,0.53782,0.27204,0.62997,0.67114,0.00457,0.0011024,0.0011024,0.0011024
70,12262.4,0.89282,0.80184,0.00723,0.58429,0.57886,0.5886,0.31067,0.60389,0.69894,0.00433,0.0010892,0.0010892,0.0010892
71,12438.5,0.87562,0.75599,0.00715,0.61226,0.58991,0.60221,0.30724,0.62406,0.68641,0.00453,0.001076,0.001076,0.001076
72,12615.8,0.93803,0.7329,0.00681,0.65178,0.53155,0.58312,0.28984,0.62272,0.64783,0.00456,0.0010628,0.0010628,0.0010628
73,12792.8,0.91443,0.76412,0.00683,0.59499,0.55844,0.57798,0.2926,0.62875,0.6441,0.0044,0.0010496,0.0010496,0.0010496
74,12969.6,0.88868,0.74496,0.00643,0.59799,0.57716,0.57187,0.29268,0.62608,0.68294,0.0045,0.0010364,0.0010364,0.0010364
75,13145.8,0.91479,0.70858,0.00708,0.59867,0.54352,0.56331,0.28854,0.65429,0.7331,0.0047,0.0010232,0.0010232,0.0010232
76,13321.8,0.9633,0.80362,0.00762,0.61648,0.52208,0.58107,0.30748,0.63251,0.63846,0.00463,0.00101,0.00101,0.00101
77,13498.6,0.93537,0.78202,0.00649,0.63436,0.57098,0.59828,0.30949,0.62388,0.6627,0.00466,0.0009968,0.0009968,0.0009968
78,13675.1,0.9275,0.76846,0.0063,0.61808,0.59779,0.59653,0.3191,0.60398,0.64587,0.0043,0.0009836,0.0009836,0.0009836
79,13851.7,0.89183,0.71626,0.0069,0.6138,0.59779,0.60996,0.32215,0.60343,0.66187,0.00432,0.0009704,0.0009704,0.0009704
80,14028.2,0.89292,0.7358,0.0069,0.61333,0.59794,0.60444,0.31666,0.63057,0.62411,0.00461,0.0009572,0.0009572,0.0009572
81,14204.6,0.91679,0.74516,0.00686,0.61403,0.56961,0.59471,0.3093,0.62189,0.62244,0.00433,0.000944,0.000944,0.000944
82,14381.2,0.87313,0.6952,0.00683,0.64238,0.57256,0.59775,0.31887,0.61182,0.6211,0.0045,0.0009308,0.0009308,0.0009308
83,14557.5,0.86266,0.72787,0.00667,0.60266,0.60568,0.59073,0.30881,0.60264,0.6263,0.00439,0.0009176,0.0009176,0.0009176
84,14733.6,0.88482,0.73848,0.00688,0.62661,0.58232,0.60765,0.3204,0.62524,0.6182,0.00464,0.0009044,0.0009044,0.0009044
85,14910.1,0.85448,0.67049,0.00613,0.60641,0.60024,0.60616,0.30344,0.62882,0.66813,0.00439,0.0008912,0.0008912,0.0008912
86,15087.7,0.94414,0.78759,0.00721,0.63203,0.59148,0.61701,0.31598,0.62206,0.60867,0.00445,0.000878,0.000878,0.000878
87,15263.7,0.89337,0.68592,0.00662,0.61964,0.57729,0.59776,0.30371,0.6251,0.60034,0.00456,0.0008648,0.0008648,0.0008648
88,15441,0.9187,0.73328,0.00692,0.62339,0.59788,0.61175,0.31597,0.61674,0.64107,0.00439,0.0008516,0.0008516,0.0008516
89,15618.5,0.91476,0.75778,0.00636,0.59525,0.57571,0.59294,0.30309,0.61031,0.62957,0.00446,0.0008384,0.0008384,0.0008384
90,15795.3,0.84905,0.68422,0.00627,0.61133,0.55819,0.58275,0.31069,0.61819,0.64574,0.00454,0.0008252,0.0008252,0.0008252
91,15973.2,0.92016,0.73927,0.0067,0.60979,0.57186,0.60235,0.30753,0.6135,0.59494,0.00435,0.000812,0.000812,0.000812
92,16152,0.87243,0.69642,0.00572,0.6142,0.56249,0.59114,0.30311,0.6136,0.63429,0.00435,0.0007988,0.0007988,0.0007988
93,16331,0.89386,0.67528,0.00654,0.61523,0.57886,0.60011,0.31299,0.61667,0.61606,0.00444,0.0007856,0.0007856,0.0007856
94,16509.3,0.84168,0.67307,0.00636,0.67237,0.5347,0.59172,0.31377,0.61676,0.61049,0.00451,0.0007724,0.0007724,0.0007724
95,16687.4,0.86329,0.6839,0.00623,0.61383,0.59306,0.59793,0.30485,0.60659,0.59421,0.00444,0.0007592,0.0007592,0.0007592
96,16866.5,0.856,0.68933,0.00634,0.59745,0.55994,0.5764,0.30551,0.6106,0.59573,0.00444,0.000746,0.000746,0.000746
97,17045.9,0.80697,0.64646,0.00582,0.65098,0.57571,0.60814,0.31512,0.61535,0.61136,0.00443,0.0007328,0.0007328,0.0007328
98,17223.5,0.79606,0.61051,0.0058,0.59863,0.63047,0.61094,0.32466,0.60367,0.63502,0.00432,0.0007196,0.0007196,0.0007196
99,17401.9,0.79906,0.64512,0.00558,0.63095,0.5836,0.61027,0.32294,0.59839,0.6222,0.00434,0.0007064,0.0007064,0.0007064
100,17580.1,0.86877,0.69075,0.00622,0.6436,0.56397,0.60662,0.31767,0.61031,0.60256,0.0044,0.0006932,0.0006932,0.0006932
101,17758.1,0.85483,0.6625,0.00668,0.64564,0.59201,0.5932,0.31979,0.62081,0.6301,0.00449,0.00068,0.00068,0.00068
102,17936,0.83456,0.69308,0.00586,0.65541,0.59464,0.61767,0.32143,0.61483,0.59982,0.00446,0.0006668,0.0006668,0.0006668
103,18114.4,0.87861,0.68168,0.00639,0.65464,0.55011,0.59245,0.30592,0.62098,0.61191,0.00454,0.0006536,0.0006536,0.0006536
104,18292.1,0.82579,0.6026,0.00583,0.65827,0.58991,0.61354,0.32144,0.60993,0.6163,0.00438,0.0006404,0.0006404,0.0006404
105,18470.6,0.87003,0.63419,0.00645,0.66234,0.57413,0.6105,0.31715,0.62198,0.5983,0.00457,0.0006272,0.0006272,0.0006272
106,18648.5,0.81065,0.59702,0.00541,0.65548,0.57256,0.60989,0.32291,0.60519,0.60435,0.00436,0.000614,0.000614,0.000614
107,18827,0.82957,0.60244,0.00526,0.6644,0.55205,0.59351,0.31958,0.59908,0.60581,0.00419,0.0006008,0.0006008,0.0006008
